"","Average number susceptibles"
"Beta_0.102",31.8366546691083
"Beta_0.101",31.8554531527731
"Beta_0.1",31.8741054866714
"Beta_0.099",31.8926279802304
"Beta_0.098",31.9110407747253
"Beta_0.097",31.92936979205
"Beta_0.096",31.9476359178249
"Beta_0.095",31.965878059603
"Beta_0.094",31.984137164432
"Beta_0.093",32.0024602203634
"Beta_0.092",32.020902587877
"Beta_0.091",32.0395304436
"Beta_0.09",32.0584234864981
"Beta_0.089",32.0776750540114
"Beta_0.088",32.097395797579
"Beta_0.087",32.1177152045898
"Beta_0.086",32.1387869168925
"Beta_0.085",32.1607903001597
"Beta_0.084",32.1839364252891
"Beta_0.083",32.2084713482617
"Beta_0.082",32.2346840603449
"Beta_0.081",32.2629115219171
"Beta_0.08",32.2935456613615
"Beta_0.079",32.3270401723428
"Beta_0.078",32.3639229116239
"Beta_0.077",32.4048050300925
"Beta_0.076",32.4503906686619
"Beta_0.075",32.501489788677
"Beta_0.074",32.559034809256
"Beta_0.073",32.6240906631159
"Beta_0.072",32.6978698867534
"Beta_0.071",32.7817527392087
"Beta_0.07",32.8773022861001
"Beta_0.069",32.9862864028475
"Beta_0.068",33.1106659783615
"Beta_0.067",33.2526519094821
"Beta_0.066",33.4146838408159
"Beta_0.065",33.599442506666
"Beta_0.064",33.8098594694924
"Beta_0.063",34.0490912176311
"Beta_0.062",34.3205115925724
"Beta_0.061",34.6276761966358
"Beta_0.06",34.9742462131927
"Beta_0.059",35.3639238305805
"Beta_0.058",35.8004239733778
"Beta_0.057",36.2871800806236
"Beta_0.056",36.8273633413697
"Beta_0.055",37.423621199106
"Beta_0.054",38.0778932536542
"Beta_0.053",38.7912087448167
"Beta_0.052",39.5634725886725
"Beta_0.051",40.3932777690902
"Beta_0.05",41.2777764032649
"Beta_0.049",42.212546037787
"Beta_0.048",43.19159629269
"Beta_0.047",44.2074940417592
"Beta_0.046",45.2515172438743
"Beta_0.045",46.3139984832848
"Beta_0.044",47.3847377205221
"Beta_0.043",48.4535161979695
"Beta_0.042",49.5106684062684
"Beta_0.041",50.5476941262502
"Beta_0.04",51.5578636580548
"Beta_0.039",52.5368164448486
"Beta_0.038",53.4831472099164
"Beta_0.037",54.3989055675111
"Beta_0.036",55.2901157231685
"Beta_0.035",56.16722360116
"Beta_0.034",57.0454806580271
"Beta_0.033",57.9451991625111
"Beta_0.032",58.8917777569556
"Beta_0.031",59.9152491946591
"Beta_0.03",61.0491571826375
"Beta_0.029",62.3284226792644
"Beta_0.028",63.786038682236
"Beta_0.027",65.4487945255122
"Beta_0.026",67.3326576007724
"Beta_0.025",69.4396095676933
"Beta_0.024",71.7578870410301
"Beta_0.023",74.2673441272912
"Beta_0.022",76.9496401205009
"Beta_0.021",79.7994654262368
"Beta_0.02",82.8296657361083
"Beta_0.019",86.0612931197058
"Beta_0.018",89.4941743728167
"Beta_0.017",93.065541428379
"Beta_0.016",96.6217240389769
"Beta_0.015",99.9334364475857
"Beta_0.014",102.760607297464
"Beta_0.013",104.930775466144
"Beta_0.012",106.381778953923
"Beta_0.011",107.15299642838
"Beta_0.01",107.34541253286
"Beta_0.009",107.080529632743
"Beta_0.008",106.473150919411
"Beta_0.007",105.619191323304
"Beta_0.006",104.593253868935
"Beta_0.005",103.450955178841
"Beta_0.004",102.232737197109
"Beta_0.003",100.967592974768
"Beta_0.002",99.6761678310316
"Beta_0.001",98.3731149821301
