"","Average number susceptibles"
"Beta_0.2",29.3808729500871
"Beta_0.199",29.4051873356828
"Beta_0.198",29.429633659077
"Beta_0.197",29.4542116116595
"Beta_0.196",29.4789198979647
"Beta_0.195",29.503757272529
"Beta_0.194",29.5287218173646
"Beta_0.193",29.5538122891801
"Beta_0.192",29.5790267365881
"Beta_0.191",29.6043634943427
"Beta_0.19",29.6298208116039
"Beta_0.189",29.6553973640824
"Beta_0.188",29.6810911835082
"Beta_0.187",29.7069037678832
"Beta_0.186",29.7328237063674
"Beta_0.185",29.7588520557835
"Beta_0.184",29.7849860330856
"Beta_0.183",29.8112242229139
"Beta_0.182",29.8375636076219
"Beta_0.181",29.8640010343537
"Beta_0.18",29.89053326836
"Beta_0.179",29.9171565257404
"Beta_0.178",29.9438673211076
"Beta_0.177",29.9706619251017
"Beta_0.176",29.9975365840966
"Beta_0.175",30.0244872663314
"Beta_0.174",30.0515098314755
"Beta_0.173",30.0785997252757
"Beta_0.172",30.1057527444848
"Beta_0.171",30.1329642330979
"Beta_0.17",30.1602298581037
"Beta_0.169",30.1875445012652
"Beta_0.168",30.2149031344176
"Beta_0.167",30.2423000980703
"Beta_0.166",30.2697304125196
"Beta_0.165",30.2971885518607
"Beta_0.164",30.3246695520441
"Beta_0.163",30.3521674244577
"Beta_0.162",30.3796723598159
"Beta_0.161",30.4071894736088
"Beta_0.16",30.4347026537865
"Beta_0.159",30.4622104614701
"Beta_0.158",30.4897059586015
"Beta_0.157",30.5171850576041
"Beta_0.156",30.5446367185357
"Beta_0.155",30.5720576644007
"Beta_0.154",30.5994437509787
"Beta_0.153",30.6267734151204
"Beta_0.152",30.6540610586942
"Beta_0.151",30.6812988185531
"Beta_0.15",30.7084532106502
"Beta_0.149",30.7355563509808
"Beta_0.148",30.7625757793373
"Beta_0.147",30.7895142422873
"Beta_0.146",30.8163666554753
"Beta_0.145",30.8431209006315
"Beta_0.144",30.8697733174961
"Beta_0.143",30.8963194794789
"Beta_0.142",30.9227530422892
"Beta_0.141",30.9490637623523
"Beta_0.14",30.9752522840953
"Beta_0.139",31.0013082024164
"Beta_0.138",31.0272248569317
"Beta_0.137",31.053001640079
"Beta_0.136",31.0786288451877
"Beta_0.135",31.104105135067
"Beta_0.134",31.1294207518057
"Beta_0.133",31.1545770974471
"Beta_0.132",31.1795638175574
"Beta_0.131",31.2043762742928
"Beta_0.13",31.2290110075284
"Beta_0.129",31.2534655600375
"Beta_0.128",31.2777336467306
"Beta_0.127",31.3018145910585
"Beta_0.126",31.3257051775923
"Beta_0.125",31.3493956103063
"Beta_0.124",31.3728888025339
"Beta_0.123",31.3961777317907
"Beta_0.122",31.4192657793252
"Beta_0.121",31.4421474972268
"Beta_0.12",31.464813426374
"Beta_0.119",31.4872752788802
"Beta_0.118",31.5095176358212
"Beta_0.117",31.531553086484
"Beta_0.116",31.5533677079482
"Beta_0.115",31.5749699020314
"Beta_0.114",31.5963523187159
"Beta_0.113",31.6175214217693
"Beta_0.112",31.6384744419653
"Beta_0.111",31.6592122247236
"Beta_0.11",31.6797358357173
"Beta_0.109",31.7000480316867
"Beta_0.108",31.7201509082073
"Beta_0.107",31.740050320866
"Beta_0.106",31.7597503750264
"Beta_0.105",31.7792517660444
"Beta_0.104",31.798564093636
"Beta_0.103",31.8176958727822
